Film,Lead Studio,Genre,Domestic Gross ($m),Worldwide Gross ($m),Budget ($m),Profitability (% budget recovered),Opening Weekend ($m)
Thor,Disney,Action,181.03,449.32,150,299.55,65.72
Tinker Tailor Soldier Spy,Focus,Thriller,24.149,80.63,21,383.95,5.47
Tower Heist,Relativity,Comedy,78.04,152.92,75,203.9,24.03
Transformers: Dark of the Moon,DreamWorks Pictures,Action,352.39,"1,123.79",195,576.3,97.85
Twilight: Breaking Dawn,Independent,Romance,281.29,712.17,110,647.43,138.12
Unknown,Independent,Thriller,63.69,130.79,30,435.95,21.86
War Horse,Disney,Drama,79.884,177.584,66,269.07,14.52
Warrior,Lionsgate,Action,13.66,23.06,25,92.23,5.24
Water For Elephants,20th Century Fox,Drama,58.71,117.09,38,308.14,16.84
We Bought a Zoo,Fox,Comedy,75.624,120.081,50,240.16,9.36
What's Your Number,20th Century Fox,Comedy,14.01,30.43,20,152.13,5.42
Winnie The Pooh,Disney,Animation,26.69,33.15,30,110.51,7.86
X-Men: First Class,Disney,Action,146.41,353.62,160,221.01,55.1
Your Highness,Universal,Comedy,21.6,24.86,49.9,49.81,9.36
Zookeeper,Happy Madison Productions,Comedy,80.36,169.85,80,212.31,20.07
